,Thursday,,Friday,,Saturday
,Nov-15,,Nov-16,,Nov-17
9:00 AM,Chris Granger / Light Table,,Edmund Jackson /  Clojure Data Science,,Steve Miner / Challenges for Logic Programming
9:50 AM,Ambrose Bonnaire-Sergeant / Typed Clojure,,Phil Hagelberg / What's New in Leiningen,,Hugo Duncan / Debuggers for Clojure
11:00 AM,Travis Vachon / Activity Stream Processing,,Paul deGrandis / Production Ready ClojureScript: Tales from the Frontier,,Chris Frisz / TCO
11:50 AM,Conrad Barski / Functional Client-side ClojureScript UI Programming with Webfui,,William Byrd & Daniel Friedman / miniKanren Philosophy,,Bodil Stokke / ClojureScript all the Way Down
1:50 PM,Jim Crossley / REPL-Based Development Immutant,,Lightning Talks,,Daniel Gregoire / Testing with Logic Programming
2:40 PM,Mike Anderson / Machine Learning Live,,Kevin Lynagh / Building a Grammar for Statistical Graphics in Clojure,,Chris Ford / Functional Composition
3:50 PM,Zach Tellman / Playing Go with Clojure,,Kovas Boguta / Reinventing the REPL,,
4:40 PM,Rich Hickey / TBD - The Language of the System,,Michael Nygard / Whence Complexity?,,
